	Date	ImgSrc	Title	Price	Items	DisFol	DisLink	TwitFol	TwitLink
0	2021-11-08T19:00:00Z	https://nextdrop.s3.amazonaws.com/5745Symmetrical-NFT.gif	Symmetrical NFT	0.06 ETH	10000	11.7K	https://discord.gg/sxPgN4Q2dc	4.3K	https://twitter.com/Symmetrical_NFT
1	2021-11-08T20:00:00Z	https://nextdrop.s3.amazonaws.com/627QuestChests.gif	Quest Chests by RiddleDrops	0.05 ETH	10946	1.8K	https://discord.gg/GrFnHDjkHV	2.2K	https://twitter.com/RiddleDrops
2	2021-11-08T20:00:00Z	https://nextdrop.s3.amazonaws.com/89296701507c3676ec8c7b029cf31cc24508.png	The Simpletons NFT	0.03 ETH	3000	1.6K	https://discord.com/invite/mA8T56Z7yE	1.7K	https://twitter.com/SimpletonsNFT
3	2021-11-09T01:00:00Z	https://nextdrop.s3.amazonaws.com/8354image0.gif	Blu Boy NFT	0.075 ETH	5000		discord.gg/bluboy	13.8K	https://twitter.com/bluboynft
4	2021-11-09T12:30:00Z	https://nextdrop.s3.amazonaws.com/3225-crypto-pugs.png	CryptoPugs	0.065 ETH	3500	5.6K	https://discord.gg/2VPC4yKuK9	8.9K	https://twitter.com/pugs_crypto
5	2021-11-09T16:00:00Z	https://nextdrop.s3.amazonaws.com/8207thorguards.png	Thorguards	0.08 ETH	9999	27.5K	https://discord.gg/thorguards	8.0K	https://twitter.com/thorguards
6	2021-11-09T16:00:00Z	https://nextdrop.s3.amazonaws.com/7807showcase (2).gif	Elite 9090	0.09 ETH	9090	1.1K	https://discord.gg/QF9dyHA6nA	1.1K	https://twitter.com/Elite9090NFT
7	2021-11-09T17:00:00Z	https://nextdrop.s3.amazonaws.com/3489-twtbanner.png	BIG AUSSIE CROCS PUBLIC LAUNCH	0.04 ETH	9999	2.9K	https://discord.com/invite/bigaussiecrocs	12.1K	https://twitter.com/bigaussiecrocs
8	2021-11-09T17:30:00Z	https://nextdrop.s3.amazonaws.com/7323-teaser-short.gif	MojoHeads	0.15 ETH	504	1.1K	http://discord.gg/mojoheads	7	http://twitter.com/mojoheads
9	2021-11-09T20:00:00Z	https://nextdrop.s3.amazonaws.com/5642Under 1mb.gif	10th-Legion	0.07 ETH	10000	1.8K	https://discord.com/invite/10th-legion	7.8K	https://twitter.com/10thLegionNFT
10	2021-11-09T20:00:00Z	https://nextdrop.s3.amazonaws.com/9003-BW.jpg	BitWhips Series 1 - Lancer Evo 4	0.05 ETH	5000	13	https://discord.gg/YWF2aeRccf	5	twitter.com/BitWhips
11	2021-11-09T20:30:00Z	https://nextdrop.s3.amazonaws.com/8382rainbowbgsplatter.png	Splatters	0.03 ETH	10000	4.7K	http://discord.gg/WhqDTTrqbG	1.1K	https://twitter.com/SplattersBR
12	2021-11-09T22:00:00Z	https://nextdrop.s3.amazonaws.com/5308Dirtydogsnft.jpg	Dirty Dogs	0.065 ETH	7777		discord.gg/dirtydogsnft	3.8K	https://twitter.com/dirtydogsnft
13	2021-11-09T23:00:00Z	https://nextdrop.s3.amazonaws.com/261-cryptoon gooz.jpg	Cryptoon Goonz	0.07 ETH	6969	1.2K	https://discord.gg/BRnCCZpHqd	1.0K	https://twitter.com/cryptoon_goonz
14	2021-11-10T00:00:00Z	https://nextdrop.s3.amazonaws.com/261-cryptoon gooz.jpg	Slim Salamander Squad	0.06 ETH	10000	15.9K	https://discord.gg/9mbnZNFaHm	10.8K	https://twitter.com/Salamanders_NFT
15	2021-11-10T01:00:00Z	https://nextdrop.s3.amazonaws.com/4798-BluBoy Very Spooky Wings Final-min.png	Bluboy's BluWorld	0.075 ETH	5000	23.0K	https://discord.gg/bluboy	13.8K	https://twitter.com/bluboynft
16	2021-11-10T01:00:00Z	https://nextdrop.s3.amazonaws.com/1660ezgif.com-gif-maker (6).gif	Reborn ape king	0.08 ETH	10000	3.4K	https://discord.gg/qeVMMphsHw	10.3K	https://twitter.com/rebornapeking
17	2021-11-10T05:09:00Z	https://nextdrop.s3.amazonaws.com/2839crypto bombs.jpg	The Cryptomobs	0.03 ETH	10000	1	https://discord.com/invite/G6CXekKp	0.7K	https://twitter.com/The_Cryptomobs
18	2021-11-10T07:00:00Z	https://nextdrop.s3.amazonaws.com/9996-boredmafiaclub.gif	BoredMafia Club	0.069 ETH	5000	1.0K	https://discord.com/invite/KXV6WjAnJU	6.3K	https://twitter.com/boredmafiaclub
19	2021-11-10T13:00:00Z	https://nextdrop.s3.amazonaws.com/3606pixelspl1ff5.gif	PixelSpl1ffs	0.08 ETH	420			7	https://twitter.com/pixelspliffs
20	2021-11-10T14:00:00Z	https://nextdrop.s3.amazonaws.com/3170138.jpg	Doki Division	0.075 ETH	10000	30.8K	https://discord.gg/dokidivision	5.4K	https://twitter.com/dokidivision
21	2021-11-10T17:00:00Z	https://nextdrop.s3.amazonaws.com/4335nonchimpz1.webp	Non-Chimpz World	0.0555 ETH	17777	23.6K	https://discord.gg/sawNeB4vBK	11.8K	https://twitter.com/NonChimpz
22	2021-11-10T18:00:00Z	https://nextdrop.s3.amazonaws.com/3393128x128.gif	WORM CITY	0.08 ETH	11111	1.6K	https://discord.gg/hpeuXFEcmP	1.6K	https://twitter.com/wormcitynft
23	2021-11-10T18:00:00Z	https://nextdrop.s3.amazonaws.com/1793Image_008.jpg	Peopleeum	0.1 ETH	11333	6.1K	https://discord.com/invite/5pFxUFXBwh	1.3K	https://twitter.com/peopleeum
24	2021-11-10T20:08:00Z	https://nextdrop.s3.amazonaws.com/7321yellow tiger.png	ANIMAL KINGDOM SERIES - YELLO 	0.14 ETH	380	10	https://aqomi.com/	2.9K	https://twitter.com/Aqomiart
25	2021-11-10T21:00:00Z	https://nextdrop.s3.amazonaws.com/177IMG_5490.jpg	Voodollz	0.1 ETH	10000	8.6K	https://discord.gg/5w8zEXgC8t	7.1K	https://twitter.com/Voodollz_
26	2021-11-10T21:00:00Z	https://nextdrop.s3.amazonaws.com/9144dorky-ducks.gif	Dorky Ducks	0.07 ETH	10000	2.3K	https://discord.gg/wGjwTbaumc	0.7K	https://twitter.com/DorkyDucks
27	2021-11-10T21:00:00Z	https://nextdrop.s3.amazonaws.com/3048logo_small(1).png	Hell Mole'Z	0.3 ETH	50			6	https://twitter.com/HellmoleZ
28	2021-11-11T04:00:00Z	https://nextdrop.s3.amazonaws.com/738-4995E35B-67EA-4041-860E-FA94FB51B3EC.jpeg	Naybahood nft	6.0 ETH	1				Http://www.Twitter.com/itskoofoo
29	2021-11-11T04:00:00Z	https://nextdrop.s3.amazonaws.com/7761the pangaens nft.png	The Pangaens NFT	0.06 ETH	8888	3.6K	https://discord.com/invite/CgHYb6aCbm	6.2K	https://twitter.com/ThePangaensNFT
30	2021-11-11T04:00:00Z	https://nextdrop.s3.amazonaws.com/1845the rocking uniquehorns.png	The Rocking Uniquehorns	0.0666 ETH	10000	2.9K	https://discord.gg/6HYY8HATwq	1.5K	https://twitter.com/Uniquehorns_nft
31	2021-11-11T05:30:00Z	https://nextdrop.s3.amazonaws.com/9936-2088-humans.png	2088:HUMANS	0.055 ETH	8888	0.8K	https://discord.com/invite/4V5rJVum6R	1.0K	https://twitter.com/2088humans
32	2021-11-11T10:00:00Z	https://nextdrop.s3.amazonaws.com/4976-3x3.jpg	3x3Punks	0.033 ETH	111111	1.2K	https://discord.gg/wXfHyWy2F7	0.4K	https://twitter.com/3x3punks
33	2021-11-11T10:10:00Z	https://nextdrop.s3.amazonaws.com/7402Artifacts.gif	Artifacts by Cryptoforma	0.128 ETH	96	55	https://discord.com/invite/BKpjqwpdjP	2.3K	https://twitter.com/cryptoforma
34	2021-11-11T11:11:00Z	https://nextdrop.s3.amazonaws.com/999kumoxworlds.png	Kumo X World	0.06 ETH	6666	2.4K	https://discord.gg/kumoxworld	1.0K	https://twitter.com/kumoxworld
35	2021-11-11T11:11:00Z	https://nextdrop.s3.amazonaws.com/77321n.png	Tiny Hedgehog	0.05 ETH	3333	60	https://discord.gg/hwzpehaPtw	0.7K	https://twitter.com/TinyHedgehogNFT
36	2021-11-11T13:00:00Z	https://nextdrop.s3.amazonaws.com/1992HC7_blue.jpeg	CypherHumans	0.088 ETH	8888	24.3K	https://discord.gg/vdVx2YZdKA	5.6K	https://twitter.com/CypherHumans
37	2021-11-11T16:00:00Z	https://nextdrop.s3.amazonaws.com/9139Mutant Punks City.gif	MUTANT PUNKS CITY	0.08 ETH	11111	33.3K	https://discord.gg/U4jsG4fArD	14.1K	https://twitter.com/mutantpunks
38	2021-11-11T16:11:00Z	https://nextdrop.s3.amazonaws.com/2539-block_flock_nft.gif	Block Flock	0.05 ETH	4444	0.5K	https://discord.gg/hkJuwwTv	0.3K	https://twitter.com/blockflocknft
39	2021-11-11T18:00:00Z	https://nextdrop.s3.amazonaws.com/5711leatherfaces.jpg	Leatherfaces	0.0666 ETH	10666	6.9K	https://discord.gg/ultrarare	30.9K	https://twitter.com/UltraRareUK
40	2021-11-11T20:00:00Z	https://nextdrop.s3.amazonaws.com/89c211cover.png	Calaveras 211	0.07 ETH	10000	1.3K	https://discord.gg/calaveras211	2.9K	https://twitter.com/Calaveras211
41	2021-11-11T20:33:00Z	https://nextdrop.s3.amazonaws.com/307319.png	Crypto Butts	0.01 ETH	7575	6	https://discord.gg/w2DGbRcXWD	1	https://twitter.com/Crypto_Butts
42	2021-11-11T21:00:00Z	https://nextdrop.s3.amazonaws.com/8417KAR GIF2.gif	Kiss and Roy	0.07 ETH	10000	0.3K	https://discord.gg/kissandroy	2.7K	https://twitter.com/kissandroy
43	2021-11-11T23:00:00Z	https://nextdrop.s3.amazonaws.com/7587purple-2.jpeg	Chibi Galaxy	0.08 ETH	7000	0	discord.gg/ChibiLabs	17.1K	https://twitter.com/ChibiLabs
44	2021-11-11T23:00:00Z	https://nextdrop.s3.amazonaws.com/967-DinosZone.jpg	"Dinos Zone	"	0.1 ETH	1000	0.1K	https://discord.gg/2gCAUkDJ	24	https://twitter.com/dinos_zone
45	2021-11-12T04:00:00Z	https://nextdrop.s3.amazonaws.com/3057spooky boys.gif	Spooky Boys Country Club	0.08 ETH	13000	42.4K	https://www.discord.gg/countryclub	4.4K	https://twitter.com/spookyboyscc
46	2021-11-12T04:00:00Z	https://nextdrop.s3.amazonaws.com/1528doge fight club.jfif	Doge Fight Club	0.08 ETH	6200	9.8K	https://discord.gg/JpwgaVsxW9	2.3K	https://twitter.com/fight_doge
47	2021-11-12T06:00:00Z	https://nextdrop.s3.amazonaws.com/8642-Promo6small.png	Digi Caps - Crypto Cap Collection	0.02 ETH	999	0.9K	https://discord.gg/GtJWYfMwbJ	0.7K	https://twitter.com/digi_caps
48	2021-11-12T11:00:00Z	https://nextdrop.s3.amazonaws.com/5625-moondusa1.png	Moondusa	0.07 ETH	8888	10.6K	https://discord.com/invite/moondusa	14.7K	https://twitter.com/Moondusa
49	2021-11-12T12:00:00Z	https://nextdrop.s3.amazonaws.com/5884NextDropIs_9Cat.jpg	9Cat	0.07 ETH	9999	0.2K	https://discord.gg/FaFRwh3jEm		https://twitter.com/9CatNFT
50	2021-11-12T17:00:00Z	https://nextdrop.s3.amazonaws.com/9905ezgif.com-gif-maker_-_smaller_size.gif	Seoul Stars	0.1 ETH	10000	3.9K	https://discord.gg/seoulstars	0	https://twitter.com/SeoulStarsio
51	2021-11-12T22:00:00Z	https://nextdrop.s3.amazonaws.com/5419-angels oasis.jpg	Angels Oasis	0.05 ETH	8888	7.0K	https://discord.gg/EebKGjany3	16.6K	https://twitter.com/AngelsOasisNFT
52	2021-11-12T22:00:00Z	https://nextdrop.s3.amazonaws.com/1187Mogwaiz (2).gif	Just Mogwaiz	0.15 ETH	10000	31	https://discord.gg/a83GuV5wu4	2	https://twitter.com/JustMogwaiz
53	2021-11-13T01:00:00Z	https://nextdrop.s3.amazonaws.com/3479-dog.png	Cats vs Dogs	0.03 ETH	3000	2.3K	https://discord.gg/4wrEFnbth9	2.3K	https://twitter.com/aww_nft
54	2021-11-13T03:00:00Z	https://nextdrop.s3.amazonaws.com/203jpierceandfriends_nft_collection.gif	J. Pierce & Friends	0.037 ETH	4000	2.2K	https://discord.gg/sfAdrKBH8M	2.3K	https://twitter.com/JPandFriendsNFT
55	2021-11-13T04:00:00Z	https://nextdrop.s3.amazonaws.com/4404koin deck.png	KoinDeck	0.068 ETH	8888	3.1K	https://discord.com/invite/KoinDeck	1.6K	https://twitter.com/KoinDeck
56	2021-11-13T08:00:00Z	https://nextdrop.s3.amazonaws.com/29711.jpg	Ninpo Gakko	0.06 ETH	8888	2.4K	https://discord.gg/4nAMzvVc7P	2.4K	https://twitter.com/ninpogakko
57	2021-11-13T11:00:00Z	https://nextdrop.s3.amazonaws.com/7272Animated003.gif	Baby Hodla	0.049 ETH	9999	1.0K	https://discord.gg/AZxqYeAXMN	4.1K	https://twitter.com/BabyHodla
58	2021-11-13T12:00:00Z	https://nextdrop.s3.amazonaws.com/66129cats.jpg	9Cat	0.07 ETH	9999	0.3K	https://discord.gg/9Cat	0.1K	https://twitter.com/9CatNFT
59	2021-11-13T14:00:00Z	https://nextdrop.s3.amazonaws.com/4698OpenSea.gif	Shadows of Satoshi	0.04 ETH	3109	17	http://discord.gg/cvCnbaUFC4		https://twitter.com/NFaTu8_nft
60	2021-11-13T16:00:00Z	https://nextdrop.s3.amazonaws.com/9235DIGIAVATAR.gif	DigiAvatar for DigiNation	0.08 ETH	950	1.2K	https://discord.gg/PG3gNENnUN	13.6K	https://twitter.com/Digi_metaverse
61	2021-11-13T23:00:00Z	https://nextdrop.s3.amazonaws.com/7497CUBOTZ.gif	CUBOTZ - 9,999 unique block...	0.05 ETH	9999	11.6K	https://discord.gg/6k9xZBA3Gv	1.8K	https://twitter.com/CUBOTZ_NFT
62	2021-11-14T00:00:00Z	https://nextdrop.s3.amazonaws.com/862ezgif-5-1221d94e169c.gif	Pixel Knights	0.04 ETH	10000	1.5K	https://discord.gg/kvyMYEWXes	62	https://twitter.com/Pixel__Knights
63	2021-11-14T10:50:00Z	https://nextdrop.s3.amazonaws.com/5561-ezgif-2-392f4557205b.gif	First Ever NFT	0.045 ETH	1000	2.6K	https://discord.gg/CFjrWZMbhg	6.1K	https://twitter.com/firstevernft
64	2021-11-14T13:00:00Z	https://nextdrop.s3.amazonaws.com/3824-CarouselGIF.gif	Cyborg Syndicates	0.07 ETH	10000	3.1K	https://discord.gg/WrVdyAzv4N	1.1K	https://twitter.com/CyborgSynds
65	2021-11-14T15:00:00Z	https://nextdrop.s3.amazonaws.com/2297notorious pigeon.png	Notorious Pigeonz	0.06 ETH	9999	1.6K	https://discord.gg/c3qZUbnS6f	5.0K	https://twitter.com/PigeonzNFT
66	2021-11-15T01:00:00Z	https://nextdrop.s3.amazonaws.com/7310ezgif.com-gif-maker (2).gif	MetaBoom by Fansi	0.05 ETH	5000	96	https://discord.com/invite/UyVtcD459a	0.4K	https://twitter.com/metaboom_nft
67	2021-11-15T04:00:00Z	https://nextdrop.s3.amazonaws.com/8745toriscapes.jpg	ToriiScapes	0.1 ETH	5555	1.7K	https://discord.com/invite/wQqzaTv8C8	1.6K	https://twitter.com/ToriiScapes
68	2021-11-15T14:00:00Z	https://nextdrop.s3.amazonaws.com/8494post apocalypse.png	Post Apocalypse Club	0.08 ETH	10000	0.2K	http://discord.gg/nCbWhnAttb	0.3K	https://twitter.com/PACNFT
69	2021-11-15T16:30:00Z	https://nextdrop.s3.amazonaws.com/84172.png	Ugly Monkeyz	0.07 ETH	10000	25	https://discord.gg/8D88vPVxrx	6	https://twitter.com/pixelbyteNFTs
70	2021-11-15T17:00:00Z	https://nextdrop.s3.amazonaws.com/6702yellow collection.png	Yellow Series-The Animal Ki...	0.0154 ETH	380	2.2K	https://discord.gg/4kWBse3sMH	2.9K	https://www.twitter.com/aqomiart
71	2021-11-15T21:00:00Z	https://nextdrop.s3.amazonaws.com/5332astronaught.png	United Toads	0.02 ETH	4999	2.3K	https://discord.gg/9XJCWF6tmn	2.1K	https://twitter.com/UnitedToads
72	2021-11-15T21:00:00Z	https://nextdrop.s3.amazonaws.com/3652ADD.gif	Blockchains and Dragons	0.08 ETH	5000	0.2K	https://discord.gg/aRUMtVdwaB	9	https://twitter.com/Blocks_dragons
73	2021-11-15T22:00:00Z	https://nextdrop.s3.amazonaws.com/Screen Shot 2021-09-27 at 10.18.27 PM.png	EverDragons 2	0.08 ETH	10000	1.2K	https://discord.gg/GRNsjfbzjX	37	https://twitter.com/everdragons2
74	2021-11-15T23:50:00Z	https://nextdrop.s3.amazonaws.com/6057MH2.jpg	Monkey Heist Club🐒	0.0 ETH	10101	1.0K	https://discord.gg/monkeyheistclub	2.5K	https://twitter.com/MonkeyHeistClub
75	2021-11-16T15:00:00Z	https://nextdrop.s3.amazonaws.com/736-La4wVITM.png	Realm of Cuboids 	0.075 ETH	10000	4.7K	https://discord.com/invite/kjAt5pkaKw	2.1K	https://twitter.com/cuboidsNFT
76	2021-11-16T18:00:00Z	https://nextdrop.s3.amazonaws.com/4433XIpanthers.gif	IX Panthers	0.08 ETH	9999	24.1K	https://discord.gg/uFunFn3u2u	3.6K	https://twitter.com/IXPanthers
77	2021-11-16T18:00:00Z	https://nextdrop.s3.amazonaws.com/5005Newbanner.gif	Objects	0.05 ETH	8000	0.8K	https://discord.gg/JurRtVSGHN	0.7K	https://twitter.com/triptcip
78	2021-11-17T00:00:00Z	https://nextdrop.s3.amazonaws.com/2232nippleverse  03 1500 x 500.png	Free The Nippleverse	0.069 ETH	4444	1.5K	http://discord.gg/nippleverse	1.7K	http://twitter.com/nippleverse
79	2021-11-17T12:00:00Z	https://nextdrop.s3.amazonaws.com/2664avatar.gif	STONEHEAD	0.07 ETH	5000	4	http://discord.gg/stonehead	1	https://twitter.com/STONEHEAD_NFT
80	2021-11-17T16:00:00Z	https://nextdrop.s3.amazonaws.com/799466 copy.png	Devious Trash Pandas	0.0006 ETH	10000	0.3K	https://discord.gg/6NRuTNPRHN	0.7K	https://twitter.com/DTPNFT
81	2021-11-17T19:00:00Z	https://nextdrop.s3.amazonaws.com/9239loop.gif	The Rebelz	0.049 ETH	10000	2.4K	https://discord.gg/Yh8SRnRWXP	2.2K	https://twitter.com/Rebelz_NFT
82	2021-11-17T20:00:00Z	https://nextdrop.s3.amazonaws.com/7402gif.gif	Albinos vs. Wall Street	0.161 ETH	20000	0.2K	https://discord.gg/tQQVTRhGWp	9	https://twitter.com/AvsWallStreet
83	2021-11-18T02:00:00Z	https://nextdrop.s3.amazonaws.com/9054-cover photo.jpg	PARTY GRANDPA RETIREMENT CLUB	0.2 ETH	10000	6.0K	https://discord.com/invite/retirementclubnft	0.6K	https://twitter.com/partygrandpanft
84	2021-11-18T20:00:00Z	https://nextdrop.s3.amazonaws.com/1125Hnet.com-image (1).gif	Unicorn City	0.04 ETH	10000	0.7K	https://discord.gg/ZM6CbMmzdq	3.1K	https://twitter.com/unicorncity_NFT
85	2021-11-18T21:00:00Z	https://nextdrop.s3.amazonaws.com/891theyolkfrat-animated.gif	The Yolk Frat	0.1 ETH	9999	12.4K	https://discord.gg/theyolkfrat	3.9K	https://twitter.com/TheYolkFrat
86	2021-11-18T21:00:00Z	https://nextdrop.s3.amazonaws.com/4822banner_01.jpg	EGGTOMATONS	0.08 ETH	10000	30	https://discord.gg/gXkVKverdV	13	https://twitter.com/eggtomatons
87	2021-11-18T23:00:00Z	https://nextdrop.s3.amazonaws.com/7795GBgif.gif	Ghostbusters Afterlife	0.08 ETH	10500	23.1K	http://www.discord.gg/bigheadhq	8.1K	https://twitter.com/bigheadhq
88	2021-11-19T13:00:00Z	https://nextdrop.s3.amazonaws.com/2731floofs_anim.gif	Floof World NFT	0.01 ETH	8000	13	https://discord.gg/Q6tK8X9mqd		https://www.instagram.com/floofsqueezer/
89	2021-11-19T17:00:00Z	https://nextdrop.s3.amazonaws.com/6932the prophets of babylon.gif	The Prophets of Babylon	0.25 ETH	8000	9.1K	https://discord.com/invite/babylon		
90	2021-11-19T19:33:00Z	https://nextdrop.s3.amazonaws.com/9561-7A7CEBC1-02F7-43CB-8FF3-A15639021923.gif	NuttyGnomes	0.07 ETH	9000	4.8K	https://discord.gg/sws8wpasvR	3.4K	www.twitter.com/NuttyGnomesETH
91	2021-11-20T00:00:00Z	https://nextdrop.s3.amazonaws.com/8028FAxomJxX0Agc0B5.jpeg	Ultimate Division NFT Drop	0.05 ETH	10000	50	https://discord.gg/ultimatedivison	40	http://twitter.com/ultimatedivNFT
92	2021-11-20T09:00:00Z	https://nextdrop.s3.amazonaws.com/5674output.gif	Robotars NFT	0.06 ETH	4999	1.6K	https://discord.gg/robotars	61	https://twitter.com/Robotars
