	Date	ImgSrc	Title	Price	Items	DisFol	DisLink	TwitFol	TwitLink
0	2021-11-08T20:00:00Z	https://nextdrop.s3.amazonaws.com/2981solana duckies.jpg	Rokexana	0.2 SOL	4444	6.4K	https://discord.gg/QSDBdP8F	14.9K	https://twitter.com/RolexanaNFT
1	2021-11-08T20:00:00Z	https://nextdrop.s3.amazonaws.com/8260GIF_SMALL.gif	Future Millionaires Club	0.89 SOL	10000	6.2K	https://Discord.gg/h2B4PN3aMg	9.6K	https://twitter.com/FMC_NFT
2	2021-11-08T20:00:00Z	https://nextdrop.s3.amazonaws.com/3681bastard.jpg	Bastard Reptilians	0.6 SOL	4000	0.3K	https://discord.gg/9peNp4mJ8c	0.5K	https://twitter.com/badreptilians
3	2021-11-08T22:00:00Z	https://nextdrop.s3.amazonaws.com/5268Soligators.jpg	Soligators	0.7 SOL	8888	0.2K	https://discord.gg/DTSwgnbdfU	0.2K	https://twitter.com/Soligators
4	2021-11-09T00:30:00Z	https://nextdrop.s3.amazonaws.com/3450-absergo.jpg	AbstergoAI	0.55 SOL	444	3.2K	https://discord.gg/ejFuCYEtkF	4.5K	https://twitter.com/AbstergoAI
5	2021-11-09T04:20:00Z	https://nextdrop.s3.amazonaws.com/8301-Soldoge.jpg	Soldoge Strays	0.69 SOL	8008	6.6K	https://discord.gg/fJ5k8UYR	13.6K	https://twitter.com/SolanaDoge
6	2021-11-09T16:00:00Z	https://nextdrop.s3.amazonaws.com/2274-2021-11-07 18.50.41.jpg	Fashion Sol	0.35 SOL	300	0.5K	https://discord.gg/TR6spaeWPF		https://twitter.com/SolturtleNFT
7	2021-11-09T16:00:00Z	https://nextdrop.s3.amazonaws.com/2426-pfp.PNG	SolTurtle Club	0.2 SOL	4444		discord.gg/yzCTnj7XD3	1.3K	https://twitter.com/SolturtleNFT
8	2021-11-09T18:00:00Z	https://nextdrop.s3.amazonaws.com/1378-wipemyass1.jpg	WipeMyAss	0.25 SOL	5000	27.5K	https://discord.gg/5kkfCaNYrE	19.4K	https://twitter.com/WipeMyAssNFT
9	2021-11-09T18:00:00Z	https://nextdrop.s3.amazonaws.com/8770baby-yoda.png	Baby Yoda	0.35 SOL	2500	0.9K	https://discord.gg/dQwaCTDqXe	1.3K	https://twitter.com/BabyYodaSOL
